Prob001_zero,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob002_m2014_q4i,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob003_step_one,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob004_vector2,17,20,0.85,.,R,.,R,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob005_notgate,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob006_vectorr,14,20,0.7,.,.,R,.,.,.,R,C,R,.,.,.,R,.,.,.,.,C,.,.
Prob007_wire,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob008_m2014_q4h,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob009_popcount3,9,20,0.45,R,R,R,.,R,R,R,.,.,R,.,.,R,.,.,.,R,R,R,.
Prob010_mt2015_q4a,17,20,0.85,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,R,.,R
Prob011_norgate,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob012_xnorgate,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob013_m2014_q4e,19,20,0.95,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,R,.,.,.,.
Prob014_andgate,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob015_vector1,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob016_m2014_q4j,5,20,0.25,R,C,.,R,R,.,R,R,R,R,m,.,C,m,.,R,.,R,C,m
Prob017_mux2to1v,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob018_mux256to1,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob019_m2014_q4f,17,20,0.85,.,.,.,R,.,.,.,R,.,.,.,.,.,.,.,.,.,.,R,.
Prob020_mt2015_eq2,18,20,0.9,.,.,.,.,.,R,.,.,.,.,.,.,R,.,.,.,.,.,.,.
Prob021_mux256to1v,16,20,0.8,.,.,R,.,.,.,.,.,.,R,.,.,.,R,R,.,.,.,.,.
Prob022_mux2to1,19,20,0.95,.,.,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob023_vector100r,16,20,0.8,.,.,.,.,R,.,.,.,.,.,.,R,S,.,R,.,.,.,.,.
Prob024_hadd,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob025_reduction,19,20,0.95,.,.,.,.,.,.,.,.,.,.,R,.,.,.,.,.,.,.,.,.
Prob026_alwaysblock1,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob027_fadd,19,20,0.95,.,.,.,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob028_m2014_q4a,15,20,0.75,.,p,.,.,.,.,.,.,R,.,.,R,.,.,R,.,.,.,.,R
Prob029_m2014_q4g,17,20,0.85,.,.,.,.,R,.,.,.,.,.,R,.,.,.,.,.,.,.,.,R
Prob030_popcount255,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob031_dff,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob032_vector0,19,20,0.95,.,.,.,.,.,.,C,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob033_ece241_2014_q1c,12,20,0.6,R,.,R,.,.,.,.,R,R,.,.,R,.,.,R,R,.,.,R,.
Prob034_dff8,17,20,0.85,.,.,.,.,.,.,.,.,.,.,R,.,.,.,.,.,.,.,R,R
Prob035_count1to10,17,20,0.85,.,.,.,R,.,.,R,.,.,.,.,.,.,.,.,.,.,.,R,.
Prob036_ringer,17,20,0.85,.,.,.,.,R,.,.,.,.,.,C,.,.,.,.,.,R,.,.,.
Prob037_review2015_count1k,19,20,0.95,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,R,.,.,.
Prob038_count15,19,20,0.95,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,R,.
Prob039_always_if,19,20,0.95,.,.,.,.,.,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob040_count10,18,20,0.9,.,.,.,.,.,R,.,.,.,.,.,.,.,.,.,.,.,.,R,.
Prob041_dff8r,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob042_vector4,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob043_vector5,2,20,0.1,R,R,.,R,C,R,p,C,R,.,C,R,R,R,R,R,C,R,R,R
Prob044_vectorgates,17,20,0.85,.,.,R,.,.,.,.,.,R,.,.,.,.,.,.,.,.,R,.,.
Prob045_edgedetect2,7,20,0.35,.,R,.,R,R,.,.,R,R,R,R,.,R,n,R,R,R,R,.,.
Prob046_dff8p,19,20,0.95,.,.,.,.,.,.,.,.,.,.,.,R,.,.,.,.,.,.,.,.
Prob047_dff8ar,10,20,0.5,.,.,R,.,.,.,.,R,.,.,.,R,.,R,R,R,R,R,R,R
Prob048_m2014_q4c,18,20,0.9,.,.,.,.,.,.,.,.,.,R,.,.,.,.,.,.,R,.,.,.
Prob049_m2014_q4b,17,20,0.85,.,.,.,.,.,.,R,.,.,.,.,R,.,.,.,R,.,.,.,.
Prob050_kmap1,0,20,0.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Prob051_gates4,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob052_gates100,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob053_m2014_q4d,4,20,0.2,R,R,R,R,R,R,R,R,.,.,R,.,R,S,R,R,R,.,R,R
Prob054_edgedetect,9,20,0.45,.,.,C,R,.,.,R,R,.,.,R,R,R,R,R,.,R,.,R,.
Prob055_conditional,16,20,0.8,.,.,.,.,.,.,.,.,R,R,.,.,R,.,.,R,.,.,.,.
