Prob048_m2014_q4c,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob049_m2014_q4b,19,20,0.95,.,.,.,.,.,.,.,R,.,.,.,.,.,.,.,.,.,.,.,.
Prob050_kmap1,1,20,0.05,R,R,R,R,R,R,R,R,w,R,.,S,R,R,R,R,R,R,R,R
Prob051_gates4,19,20,0.95,.,.,.,.,.,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob052_gates100,19,20,0.95,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,S,.,.,.
Prob053_m2014_q4d,0,20,0.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Prob054_edgedetect,19,20,0.95,.,.,.,.,.,.,.,.,.,R,.,.,.,.,.,.,.,.,.,.
Prob055_conditional,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob056_ece241_2013_q7,17,20,0.85,.,.,.,.,.,.,R,.,.,.,R,.,.,.,R,.,.,.,.,.
Prob057_kmap2,0,20,0.0,R,S,R,R,R,R,R,R,R,R,R,R,R,R,w,R,R,R,R,R
Prob058_alwaysblock2,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob059_wire4,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob060_m2014_q4k,19,20,0.95,.,.,.,.,.,.,.,.,.,.,.,R,.,.,.,.,.,.,.,.
Prob061_2014_q4a,18,20,0.9,.,.,.,.,.,.,.,.,.,.,R,R,.,.,.,.,.,.,.,.
Prob062_bugs_mux2,5,20,0.25,R,R,.,R,R,R,.,R,R,.,.,R,R,R,R,R,R,R,.,R
Prob063_review2015_shiftcount,19,20,0.95,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,R
Prob064_vector3,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob065_7420,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob066_edgecapture,4,20,0.2,R,C,R,.,R,.,.,.,R,R,R,R,R,C,R,R,R,R,C,R
Prob067_countslow,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob068_countbcd,6,20,0.3,R,R,R,.,R,R,R,.,R,R,.,.,R,.,.,R,R,R,R,R
Prob069_truthtable1,2,20,0.1,R,R,R,S,R,R,R,R,R,R,w,R,R,R,R,S,w,.,.,R
Prob070_ece241_2013_q2,0,20,0.0,R,w,R,S,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Prob071_always_casez,16,20,0.8,.,R,.,.,.,.,R,.,.,.,.,.,.,R,R,.,.,.,.,.
Prob072_thermostat,18,20,0.9,.,.,.,.,.,R,R,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob073_dff16e,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob074_ece241_2014_q4,0,20,0.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,S,S,R
Prob075_counter_2bc,13,20,0.65,R,R,.,.,.,R,.,R,R,.,.,.,.,R,.,.,.,R,.,.
Prob076_always_case,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob077_wire_decl,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob078_dualedge,8,20,0.4,R,m,R,R,.,R,R,R,R,.,R,.,R,.,.,R,.,R,.,.
Prob079_fsm3onehot,4,20,0.2,R,R,S,R,R,R,R,R,R,R,R,R,R,.,R,.,.,.,R,R
Prob080_timer,17,20,0.85,.,.,.,.,.,.,.,.,.,R,.,.,R,.,.,.,.,R,.,.
Prob081_7458,15,20,0.75,.,.,S,.,S,.,S,.,.,S,.,.,.,.,S,.,.,.,.,.
Prob082_lfsr32,0,20,0.0,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,C
Prob083_mt2015_q4b,11,20,0.55,R,R,.,R,.,R,.,.,R,R,.,.,.,.,.,.,R,.,R,R
Prob084_ece241_2013_q12,7,20,0.35,R,S,.,.,S,.,S,S,R,.,S,S,w,.,S,m,R,.,.,m
Prob085_shift4,12,20,0.6,.,R,R,.,.,.,R,R,R,.,.,.,R,.,.,R,.,.,.,R
Prob086_lfsr5,0,20,0.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Prob087_gates,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob088_ece241_2014_q5b,16,20,0.8,.,.,.,.,.,.,.,.,.,.,R,.,.,R,.,.,R,.,.,R
Prob089_ece241_2014_q5a,0,20,0.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Prob090_circuit1,16,20,0.8,.,.,w,R,R,.,.,.,R,.,.,.,.,.,.,.,.,.,.,.
Prob091_2012_q2b,13,20,0.65,.,.,.,.,.,R,.,R,.,R,.,.,.,R,R,R,S,.,.,.
Prob092_gatesv100,16,20,0.8,R,.,.,.,.,.,.,R,.,.,.,.,.,.,.,.,.,R,.,C
Prob093_ece241_2014_q3,3,20,0.15,R,R,R,R,R,R,R,R,R,R,R,.,.,R,R,.,R,R,R,R
