Prob001_zero,15,20,0.75,.,.,.,.,.,S,.,.,.,.,.,R,S,.,.,R,.,.,.,S
Prob002_m2014_q4i,19,20,0.95,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,R,.,.
Prob003_step_one,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob004_vector2,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob005_notgate,13,20,0.65,R,R,.,R,.,S,.,S,.,.,.,.,.,S,.,S,.,.,.,.
Prob006_vectorr,19,20,0.95,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,R,.,.
Prob007_wire,16,20,0.8,.,S,.,.,.,.,.,.,R,.,.,.,.,.,.,.,.,R,.,R
Prob008_m2014_q4h,10,20,0.5,p,S,S,.,.,.,S,.,.,.,S,.,S,.,S,S,.,S,.,S
Prob009_popcount3,18,20,0.9,.,R,.,.,.,.,.,.,R,.,.,.,.,.,.,.,.,.,.,.
Prob010_mt2015_q4a,19,20,0.95,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,R,.,.
Prob011_norgate,10,20,0.5,.,S,.,.,.,.,S,S,S,.,S,S,.,.,S,.,.,S,S,S
Prob012_xnorgate,14,20,0.7,.,S,.,.,.,.,.,.,.,S,S,S,S,.,.,.,S,.,.,.
Prob013_m2014_q4e,10,20,0.5,.,R,.,R,R,R,.,R,R,R,.,R,.,.,.,.,R,R,.,.
Prob014_andgate,12,20,0.6,.,.,.,S,.,.,R,S,.,.,S,.,.,S,S,.,S,.,.,S
Prob015_vector1,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob016_m2014_q4j,12,20,0.6,R,.,.,.,.,.,C,R,.,R,.,.,.,R,R,R,R,.,.,.
Prob017_mux2to1v,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob018_mux256to1,19,20,0.95,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,S,.,.
Prob019_m2014_q4f,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob020_mt2015_eq2,19,20,0.95,.,.,.,.,.,.,.,.,.,.,.,.,R,.,.,.,.,.,.,.
