Prob133_2014_q3fsm,0,1,0.0,R
Prob134_2014_q3c,0,1,0.0,R
Prob135_m2014_q6b,0,1,0.0,R
Prob136_m2014_q6,0,1,0.0,r
Prob137_fsm_serial,0,1,0.0,R
Prob138_2012_q2fsm,1,1,1.0,.
Prob139_2013_q2bfsm,0,1,0.0,R
Prob140_fsm_hdlc,0,1,0.0,R
Prob141_count_clock,0,1,0.0,T
Prob142_lemmings2,1,1,1.0,.
Prob143_fsm_onehot,0,1,0.0,R
Prob144_conwaylife,0,1,0.0,R
Prob145_circuit8,0,1,0.0,R
Prob146_fsm_serialdata,0,1,0.0,S
Prob147_circuit10,0,1,0.0,R
Prob148_2013_q2afsm,1,1,1.0,.
Prob149_ece241_2013_q4,0,1,0.0,R
Prob150_review2015_fsmonehot,0,1,0.0,R
Prob151_review2015_fsm,0,1,0.0,R
Prob152_lemmings3,1,1,1.0,.
Prob153_gshare,0,1,0.0,R
Prob154_fsm_ps2data,0,1,0.0,R
Prob155_lemmings4,0,1,0.0,R
Prob156_review2015_fancytimer,0,1,0.0,C
